index,Casos,Defunciones,Casospor100k,Defpor100k,week
2021-01-31,29154.0,2702.0,133.55662097076248,12.378060981786383,05-2021
2021-02-07,23758.0,2189.0,108.83714759632899,10.027970203231087,06-2021
2021-02-14,20951.0,1752.0,95.97807388208976,8.026041021498795,07-2021
2021-02-21,19011.0,1480.0,87.09079101581827,6.779988990763822,08-2021
2021-02-28,18223.0,1245.0,83.48090498560077,5.703436684797945,09-2021
2021-03-07,17012.0,1146.0,77.9332248046447,5.249910394199555,10-2021
2021-03-14,13162.0,1027.0,60.29609128137394,4.704762630753004,11-2021
2021-03-21,12706.0,795.0,58.2071217004359,3.64195354571435,12-2021
2021-03-28,10778.0,727.0,49.3748117178733,3.3304405380306075,13-2021
2021-04-04,8457.0,623.0,38.74213979384436,2.8540088792201765,14-2021
2021-04-11,9582.0,508.0,43.895847641553345,2.3271854103432577,15-2021
2021-04-18,7707.0,462.0,35.306334562038366,2.1164560227924905,16-2021
2021-04-25,6884.0,377.0,31.53611095433659,1.7270647631878113,17-2021
2021-05-02,5377.0,301.0,24.632432975227754,1.3789031663648041,18-2021
2021-05-09,4281.0,180.0,19.611576263148596,0.8245932556334377,19-2021
2021-05-16,4075.0,175.0,18.66787509281255,0.8016878874213977,20-2021
2021-05-23,4072.0,128.0,18.65413187188533,0.586377426228222,21-2021
2021-05-30,4360.0,110.0,19.97348108089883,0.5039181006648783,22-2021
2021-06-06,5066.0,75.0,23.20771907243887,0.3435805231805987,23-2021
2021-06-13,6057.0,92.0,27.747563052065185,0.4214587751015345,24-2021
2021-06-20,8605.0,91.0,39.42013869292074,0.41687770145912667,25-2021
2021-06-27,12164.0,103.0,55.72417978625077,0.4718505851680225,26-2021
2021-07-04,18862.0,140.0,86.40821104309947,0.6413503099371182,27-2021
2021-07-11,29456.0,234.0,134.9401052107697,1.071971232323469,28-2021
2021-07-18,35295.0,381.0,161.68899420878995,1.7453890577574434,29-2021
2021-07-25,42714.0,555.0,195.6759795618148,2.5424958715364334,30-2021
2021-08-01,42591.0,754.0,195.11250750379864,3.454129526375623,31-2021
2021-08-08,38736.0,917.0,177.45246861231584,4.200844530088125,32-2021
2021-08-15,33619.0,1009.0,154.01111478411417,4.62230330518966,33-2021
2021-08-22,26133.0,925.0,119.71719749704796,4.2374931192273895,34-2021
2021-08-29,20225.0,893.0,92.65221441770156,4.090898762670333,35-2021
2021-09-05,16701.0,726.0,76.50851090185581,3.3258594643881993,36-2021
2021-09-12,13509.0,566.0,61.88572383528951,2.5928876816029214,37-2021
2021-09-19,10276.0,435.0,47.07511274938449,1.9927670344474746,38-2021
2021-09-26,5178.0,225.0,23.72079932038856,1.0307415695417972,39-2021
