vacunados,Dosis-disp,completos,Fecha,Una dosis,date,strfecha,new_vaccines,smooth,Por100
34348213.0,42347665.0,14118256.0,05/06/21,24098361.0,2021-06-05,2021-06-05,568231.0,592297.6768179537,27.257452710184065
34465461.0,42347665.0,14158972.0,06/06/21,24098361.0,2021-06-06,2021-06-06,117248.0,478314.7169187827,27.35049632253629
34600289.0,43347665.0,14172467.0,07/06/21,24186838.0,2021-06-07,2021-06-07,134828.0,382662.75379729475,27.457490763091574
34658545.0,43636655.0,14193288.0,08/06/21,24224273.0,2021-06-08,2021-06-08,58256.0,354731.87009333225,27.503720538279136
35166248.0,44221655.0,14358881.0,09/06/21,24570319.0,2021-06-09,2021-06-09,507703.0,387160.92481364054,27.906614584421174
36164011.0,44806655.0,14639188.0,10/06/21,25306211.0,2021-06-10,2021-06-10,997763.0,438995.94450173806,28.698401854066656
36430953.0,45106655.0,14747978.0,11/06/21,25465992.0,2021-06-11,2021-06-11,266942.0,465254.0318690843,28.91023700663666
36983641.0,45106655.0,14911487.0,12/06/21,25860841.0,2021-06-12,2021-06-12,552688.0,451787.0884150398,29.348829460441642
37294959.0,45106655.0,15003652.0,13/06/21,26081614.0,2021-06-13,2021-06-13,311318.0,411183.4660677927,29.595879741131036
37523062.0,45106655.0,15062873.0,14/06/21,26251224.0,2021-06-14,2021-06-14,228103.0,375029.536665234,29.77689372097188
37803462.0,46256655.0,15175659.0,15/06/21,26422800.0,2021-06-15,2021-06-15,280400.0,359201.0375821838,29.999408637248184
38248562.0,47896815.0,15383285.0,16/06/21,26665789.0,2021-06-16,2021-06-16,445100.0,367529.88891717227,30.352623292150405
38633462.0,48481815.0,15551250.0,17/06/21,26886856.0,2021-06-17,2021-06-17,384900.0,392148.1652044815,30.658065486425542
39153336.0,49066815.0,15825432.0,18/06/21,27253174.0,2021-06-18,2021-06-18,519874.0,411070.1596363864,31.070617981376422
39623088.0,49066815.0,16173003.0,19/06/21,27543142.0,2021-06-19,2021-06-19,469752.0,420916.78750359494,31.44339553826168
40031327.0,50288115.0,16526469.0,20/06/21,27753807.0,2021-06-20,2021-06-20,408239.0,425816.7468441184,31.767358686998204
40227974.0,50578275.0,16695831.0,21/06/21,27896212.0,2021-06-21,2021-06-21,196647.0,440104.1667765712,31.923410365817695
40700954.0,51163275.0,17047687.0,22/06/21,28198409.0,2021-06-22,2021-06-22,472980.0,476837.9718662899,32.298749542352525
41368066.0,51748275.0,17463895.0,23/06/21,28590500.0,2021-06-23,2021-06-23,667112.0,529616.0985804899,32.828144588097594
42155839.0,51748275.0,18006199.0,24/06/21,29099499.0,2021-06-24,2021-06-24,787773.0,569666.3246001819,33.4532916749012
42791467.0,51748275.0,18350137.0,25/06/21,29520484.0,2021-06-25,2021-06-25,635628.0,576919.1695471335,33.95770219987578
43369096.0,51748275.0,18634875.0,26/06/21,29847977.0,2021-06-26,2021-06-26,577629.0,548051.9607143194,34.41608689521731
43753814.0,51961165.0,18863087.0,27/06/21,30009547.0,2021-06-27,2021-06-27,384718.0,506299.45113355544,34.72138466112312
43912990.0,52769665.0,18953253.0,28/06/21,30078813.0,2021-06-28,2021-06-28,159176.0,479650.55193687725,34.84770076067089
44385584.0,53960195.0,19126940.0,29/06/21,30385823.0,2021-06-29,2021-06-29,472594.0,490274.5237221304,35.222733622092726
45094950.0,56751595.0,19358590.0,30/06/21,30903150.0,2021-06-30,2021-06-30,709366.0,525472.6374371907,35.785659856398205
45898210.0,57366595.0,19566228.0,01/07/21,31510606.0,2021-07-01,2021-07-01,803260.0,551447.8568417048,36.42309684515749
46451716.0,59731895.0,19686818.0,02/07/21,31960060.0,2021-07-02,2021-07-02,553506.0,540688.2313976706,36.86233843306202
46945511.0,59731895.0,19755489.0,03/07/21,32397097.0,2021-07-03,2021-07-03,493795.0,495947.4131892275,37.25419561238676
47197494.0,59731895.0,19829015.0,04/07/21,32575554.0,2021-07-04,2021-07-04,251983.0,444588.3179714923,37.454159863984664
47316228.0,60638895.0,19861575.0,05/07/21,32661900.0,2021-07-05,2021-07-05,118734.0,421188.98385817255,37.548382710165654
47739783.0,60638895.0,19937022.0,06/07/21,33002466.0,2021-07-06,2021-07-06,423555.0,444449.0897699436,37.88450006167567
48499324.0,62935885.0,20040922.0,07/07/21,33691170.0,2021-07-07,2021-07-07,759541.0,498217.90182868415,38.48724329285763
49202252.0,63935885.0,20355222.0,08/07/21,34155903.0,2021-07-08,2021-07-08,702928.0,543462.3356624803,39.0450605719884
49857020.0,65685285.0,20548715.0,09/07/21,34627540.0,2021-07-09,2021-07-09,654768.0,551090.6725412954,39.56465988261751
50362218.0,66904585.0,20621383.0,10/07/21,35065569.0,2021-07-10,2021-07-10,505198.0,519705.96395787736,39.96556605477498
50698518.0,66904585.0,20736615.0,11/07/21,35287821.0,2021-07-11,2021-07-11,336300.0,474978.6478384327,40.232441113062144
50817979.0,66904585.0,20766146.0,12/07/21,35378414.0,2021-07-12,2021-07-12,119461.0,449792.05926652014,40.32724087915802
51331578.0,67200595.0,20945773.0,13/07/21,35728222.0,2021-07-13,2021-07-13,513599.0,464735.9328349229,40.73481376961663
51986413.0,68936395.0,21108633.0,14/07/21,36230549.0,2021-07-14,2021-07-14,654835.0,509607.3459107522,41.25446624893115
52704960.0,69688175.0,21274238.0,15/07/21,36789100.0,2021-07-15,2021-07-15,718547.0,550905.0704684854,41.82467818026349
53342673.0,70837075.0,21396576.0,16/07/21,37307725.0,2021-07-16,2021-07-16,637713.0,564633.0876421399,42.33074328298571
53915023.0,73699175.0,21525199.0,17/07/21,37759104.0,2021-07-17,2021-07-17,572350.0,548530.9912291365,42.784938762053976
54282399.0,73699175.0,21626694.0,18/07/21,38029139.0,2021-07-18,2021-07-18,367376.0,526517.2834351533,43.07647456762432
54542551.0,74284175.0,21700199.0,19/07/21,38222492.0,2021-07-19,2021-07-19,260152.0,535132.1804111971,43.282921431030566
55107724.0,74837585.0,21996462.0,20/07/21,38507285.0,2021-07-20,2021-07-20,565173.0,602341.3051795762,43.73142151225962
55911861.0,77422585.0,22290247.0,21/07/21,39043948.0,2021-07-21,2021-07-21,804137.0,723937.8800304353,44.36955445530412
56872930.0,77422585.0,22613981.0,22/07/21,39725060.0,2021-07-22,2021-07-22,961069.0,860659.9041981781,45.132222743716206
58249143.0,77422585.0,23121276.0,23/07/21,40632434.0,2021-07-23,2021-07-23,1376213.0,971292.0565770202,46.2243337297125
59580006.0,79422585.0,23602901.0,24/07/21,41539250.0,2021-07-24,2021-07-24,1330863.0,1022621.1673607493,47.28045665774469
60558289.0,79422585.0,23955609.0,25/07/21,42180955.0,2021-07-25,2021-07-25,978283.0,1014565.2944892828,48.05678533049623
60855690.0,79422585.0,24048259.0,26/07/21,42429051.0,2021-07-26,2021-07-26,297401.0,991070.3557402467,48.2927916023061
61858631.0,79830915.0,24428264.0,27/07/21,43089310.0,2021-07-27,2021-07-27,1002941.0,999246.4784832896,49.08868793841549
63313209.0,82415915.0,24856170.0,28/07/21,44188943.0,2021-07-28,2021-07-28,1454578.0,1038723.2889343636,50.24298644728621
64489596.0,82415915.0,25205090.0,29/07/21,45066028.0,2021-07-29,2021-07-29,1176387.0,1064614.1153239193,51.176523019374415
65631680.0,86019915.0,25511123.0,30/07/21,45952314.0,2021-07-30,2021-07-30,1142084.0,1038792.761096347,52.08283801809234
66712486.0,86439145.0,25727786.0,31/07/21,46866125.0,2021-07-31,2021-07-31,1080806.0,950341.9757849153,52.940525095841714
67355342.0,86539145.0,25792543.0,01/08/21,47463637.0,2021-08-01,2021-08-01,642856.0,829631.750313874,53.45067149034143
67594385.0,86539145.0,25808916.0,02/08/21,47690704.0,2021-08-02,2021-08-02,239043.0,720057.6604687502,53.64036704359191
68089659.0,88622205.0,25912407.0,03/08/21,48095458.0,2021-08-03,2021-08-03,495274.0,670865.1088894613,54.03339790180814
68825948.0,89207205.0,26152992.0,04/08/21,48616734.0,2021-08-04,2021-08-04,736289.0,689554.9672200904,54.6176892184635
69820231.0,89207205.0,26503580.0,05/08/21,49299175.0,2021-08-05,2021-08-05,994283.0,736708.2632813571,55.40671489071724
70808386.0,89553745.0,26834257.0,06/08/21,49994722.0,2021-08-06,2021-08-06,988155.0,763014.180938102,56.19087761216164
