,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-07-22,1178.0,104.0,5.39650475075661,0.47643165881043076,2020-07-22
2020-07-23,1211.0,121.0,5.547680180956074,0.5543099107313666,2020-07-23
2020-07-24,1228.0,101.0,5.62555843287701,0.4626884378832068,2020-07-24
2020-07-25,1362.0,123.0,6.23942230095968,0.5634720580161825,2020-07-25
2020-07-26,996.0,121.0,4.5627493478383565,0.5543099107313666,2020-07-26
2020-07-27,1528.0,119.0,6.999880525599406,0.5451477634465506,2020-07-27
2020-07-28,1192.0,109.0,5.460639781750322,0.49933702702247074,2020-07-28
2020-07-29,1069.0,92.0,4.89716772373414,0.4214587751015349,2020-07-29
2020-07-30,1158.0,113.0,5.30488327790845,0.5176613215921027,2020-07-30
2020-07-31,1106.0,106.0,5.066667448503235,0.48559380609524677,2020-07-31
2020-08-01,1767.0,110.0,8.094757126134915,0.5039181006648787,2020-08-01
2020-08-02,921.0,117.0,4.219168824657757,0.5359856161617346,2020-08-02
2020-08-03,1266.0,119.0,5.799639231288513,0.5451477634465506,2020-08-03
2020-08-04,1088.0,116.0,4.984208122939891,0.5314045425193267,2020-08-04
2020-08-05,1225.0,111.0,5.611815211949786,0.5084991743072866,2020-08-05
2020-08-06,976.0,113.0,4.471127874990197,0.5176613215921027,2020-08-06
2020-08-07,1265.0,103.0,5.795058157646105,0.4718505851680228,2020-08-07
2020-08-08,1111.0,114.0,5.0895728167152745,0.5222423952345107,2020-08-08
2020-08-09,830.0,99.0,3.8022911231986303,0.45352629059839084,2020-08-09
2020-08-10,1841.0,112.0,8.433756575673106,0.5130802479496946,2020-08-10
2020-08-11,1200.0,91.0,5.497288370889586,0.41687770145912695,2020-08-11
2020-08-12,1133.0,97.0,5.19035643684825,0.4443641433135749,2020-08-12
2020-08-13,1077.0,97.0,4.933816312873403,0.4443641433135749,2020-08-13
2020-08-14,1275.0,97.0,5.840868894070185,0.4443641433135749,2020-08-14
2020-08-15,1330.0,104.0,6.092827944402624,0.47643165881043076,2020-08-15
2020-08-16,981.0,101.0,4.494033243202236,0.4626884378832068,2020-08-16
2020-08-17,1374.0,100.0,6.294395184668576,0.45810736424079884,2020-08-17
2020-08-18,1456.0,98.0,6.670043223346031,0.44894521695598283,2020-08-18
2020-08-19,1136.0,103.0,5.204099657775474,0.4718505851680228,2020-08-19
