,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-05-17,32.0,2.0,2.2310799193743494,0.13944249496089683,2020-05-17
2020-05-18,47.0,0.0,3.2768986315810755,0.0,2020-05-18
2020-05-19,37.0,0.0,2.5796861567765914,0.0,2020-05-19
2020-05-20,33.0,3.0,2.300801166854798,0.20916374244134525,2020-05-20
2020-05-21,43.0,1.0,2.998013641659282,0.06972124748044842,2020-05-21
2020-05-22,42.0,1.0,2.9282923941788335,0.06972124748044842,2020-05-22
2020-05-23,56.0,1.0,3.9043898589051116,0.06972124748044842,2020-05-23
2020-05-24,39.0,0.0,2.7191286517374884,0.0,2020-05-24
2020-05-25,48.0,3.0,3.346619879061524,0.20916374244134525,2020-05-25
2020-05-26,48.0,3.0,3.346619879061524,0.20916374244134525,2020-05-26
2020-05-27,39.0,1.0,2.7191286517374884,0.06972124748044842,2020-05-27
2020-05-28,55.0,5.0,3.834668611424663,0.3486062374022421,2020-05-28
2020-05-29,82.0,4.0,5.71714229339677,0.27888498992179367,2020-05-29
2020-05-30,55.0,1.0,3.834668611424663,0.06972124748044842,2020-05-30
2020-05-31,46.0,2.0,3.2071773841006275,0.13944249496089683,2020-05-31
2020-06-01,116.0,1.0,8.087664707732017,0.06972124748044842,2020-06-01
2020-06-02,56.0,5.0,3.9043898589051116,0.3486062374022421,2020-06-02
2020-06-03,83.0,3.0,5.786863540877219,0.20916374244134525,2020-06-03
2020-06-04,77.0,0.0,5.368536055994528,0.0,2020-06-04
2020-06-05,88.0,7.0,6.135469778279461,0.48804873236313895,2020-06-05
2020-06-06,88.0,5.0,6.135469778279461,0.3486062374022421,2020-06-06
2020-06-07,78.0,5.0,5.438257303474977,0.3486062374022421,2020-06-07
2020-06-08,85.0,5.0,5.926306035838116,0.3486062374022421,2020-06-08
2020-06-09,98.0,5.0,6.832682253083945,0.3486062374022421,2020-06-09
2020-06-10,90.0,7.0,6.274912273240358,0.48804873236313895,2020-06-10
